title,platform,date,publisher,developer,metascore,user_score,esrb
'Splosion Man,Xbox 360,Jul_22_2009,Twisted Pixel Games,Twisted Pixel Games,84,7.8,E10+
.hack//G.U. Last Recode,PlayStation 4,Nov__3_2017,Bandai Namco Games,CyberConnect2,76,7.8,T
.hack//G.U. vol. 1//Rebirth,PlayStation 2,Oct_24_2006,Namco Bandai Games America,CyberConnect2,69,8.1,T
.hack//G.U. vol. 2//Reminisce,PlayStation 2,May__8_2007,Namco Bandai Games America,CyberConnect2,61,8.3,T
.hack//G.U. vol. 3//Redemption,PlayStation 2,Sep_10_2007,Namco Bandai Games America,CyberConnect2,60,8.5,T
.hack//Infection Part 1,PlayStation 2,Feb_10_2003,Bandai,CyberConnect2,75,8.3,T
.hack//Mutation Part 2,PlayStation 2,May__6_2003,Bandai,CyberConnect2,76,8.5,T
.hack//Outbreak Part 3,PlayStation 2,Sep__9_2003,Bandai,CyberConnect2,70,8.3,T
.hack//Quarantine Part 4,PlayStation 2,Jan_14_2004,Bandai,CyberConnect2,70,8.2,T
1080: Avalanche,GameCube,Dec__1_2003,Nintendo,Nintendo,73,7.9,E
11-11: Memories Retold,PlayStation 4,Nov__9_2018,Bandai Namco Games,Digixart Entertainment,77,8.2,
1701 A.D.,PC,Nov__6_2006,Aspyr,Related Designs,79,7.8,E10+
2010 FIFA World Cup South Africa,Xbox 360,Apr_27_2010,EA Sports,Electronic Arts,83,8.2,E
2010 FIFA World Cup South Africa,PlayStation 3,Apr_27_2010,EA Sports,EA Canada,82,7.8,E
20XX,Switch,Jul_10_2018,Fire Hose Games,Batterystaple Games,77,7.8,E10+
24: The Game,PlayStation 2,Feb_28_2006,2K Games,SCE Studio Cambridge,62,8.1,M
2Dark,Xbox One,Mar_10_2017,Gloomywood,Gloomywood,65,7.8,M
3D After Burner II,3DS,Jan_15_2015,Sega,M2,81,7.8,E10+
3D Classics: Kirby's Adventure,3DS,Nov_17_2011,Nintendo,Arika,77,7.9,E
3D Dot Game Heroes,PlayStation 3,May_11_2010,Atlus,Silicon Studio,77,8.2,E10+
3D Gunstar Heroes,3DS,Aug_20_2015,Sega,M2,89,7.9,E10+
3D Out Run,3DS,Mar_12_2015,Sega,M2,87,8.0,E
3D Sonic the Hedgehog 2,3DS,Oct__8_2015,Sega,M2,87,8.3,E
4x4 EVO 2,GameCube,Sep__9_2002,VU Games,Terminal Reality,56,8.2,E
