title,platform,genre
'Splosion Man,Xbox 360,Action
'Splosion Man,Xbox 360,General
'Splosion Man,Xbox 360,Platformer
'Splosion Man,Xbox 360,2D
.hack//G.U. Last Recode,PlayStation 4,Miscellaneous
.hack//G.U. Last Recode,PlayStation 4,Compilation
.hack//G.U. vol. 1//Rebirth,PlayStation 2,Role-Playing
.hack//G.U. vol. 1//Rebirth,PlayStation 2,Action RPG
.hack//G.U. vol. 2//Reminisce,PlayStation 2,Role-Playing
.hack//G.U. vol. 2//Reminisce,PlayStation 2,Action RPG
.hack//G.U. vol. 3//Redemption,PlayStation 2,Role-Playing
.hack//G.U. vol. 3//Redemption,PlayStation 2,Action RPG
.hack//Infection Part 1,PlayStation 2,Role-Playing
.hack//Infection Part 1,PlayStation 2,Action RPG
.hack//Mutation Part 2,PlayStation 2,Role-Playing
.hack//Mutation Part 2,PlayStation 2,Action RPG
.hack//Outbreak Part 3,PlayStation 2,Role-Playing
.hack//Outbreak Part 3,PlayStation 2,Action RPG
.hack//Quarantine Part 4,PlayStation 2,Role-Playing
.hack//Quarantine Part 4,PlayStation 2,Action RPG
1080: Avalanche,GameCube,Sports
1080: Avalanche,GameCube,Alternative
1080: Avalanche,GameCube,Snowboarding
11-11: Memories Retold,PlayStation 4,Adventure
11-11: Memories Retold,PlayStation 4,General
1701 A.D.,PC,Strategy
1701 A.D.,PC,Real-Time
1701 A.D.,PC,Historic
1701 A.D.,PC,General
2010 FIFA World Cup South Africa,Xbox 360,Sports
2010 FIFA World Cup South Africa,Xbox 360,Traditional
2010 FIFA World Cup South Africa,Xbox 360,Team
2010 FIFA World Cup South Africa,Xbox 360,Soccer
2010 FIFA World Cup South Africa,Xbox 360,Sim
2010 FIFA World Cup South Africa,PlayStation 3,Sports
2010 FIFA World Cup South Africa,PlayStation 3,Traditional
2010 FIFA World Cup South Africa,PlayStation 3,Team
2010 FIFA World Cup South Africa,PlayStation 3,Soccer
2010 FIFA World Cup South Africa,PlayStation 3,Sim
20XX,Switch,Action
20XX,Switch,Platformer
20XX,Switch,2D
24: The Game,PlayStation 2,Action Adventure
24: The Game,PlayStation 2,Modern
2Dark,Xbox One,Action Adventure
2Dark,Xbox One,General
3D After Burner II,3DS,Action
3D After Burner II,3DS,Shooter
3D After Burner II,3DS,Scrolling
3D After Burner II,3DS,Shoot-'Em-Up
3D After Burner II,3DS,Vertical
3D Classics: Kirby's Adventure,3DS,Action
3D Classics: Kirby's Adventure,3DS,Platformer
3D Classics: Kirby's Adventure,3DS,2D
3D Dot Game Heroes,PlayStation 3,Role-Playing
3D Dot Game Heroes,PlayStation 3,Action RPG
3D Gunstar Heroes,3DS,Action
3D Gunstar Heroes,3DS,Shooter
3D Gunstar Heroes,3DS,Shoot-'Em-Up
3D Gunstar Heroes,3DS,Horizontal
3D Out Run,3DS,Driving
3D Out Run,3DS,Racing
3D Out Run,3DS,Arcade
3D Out Run,3DS,Automobile
3D Sonic the Hedgehog 2,3DS,Action
3D Sonic the Hedgehog 2,3DS,Platformer
3D Sonic the Hedgehog 2,3DS,2D
4x4 EVO 2,GameCube,Driving
4x4 EVO 2,GameCube,Racing
4x4 EVO 2,GameCube,Rally / Offroad
7 Wonders of the Ancient World,DS,Miscellaneous
7 Wonders of the Ancient World,DS,Puzzle
7 Wonders of the Ancient World,DS,General
7th Dragon III Code: VFD,3DS,General
7th Dragon III Code: VFD,3DS,Role-Playing
7th Dragon III Code: VFD,3DS,Japanese-Style
A Boy and His Blob,Wii,Action
A Boy and His Blob,Wii,Miscellaneous
A Boy and His Blob,Wii,Platformer
A Boy and His Blob,Wii,Puzzle
A Boy and His Blob,Wii,2D
A Boy and His Blob,Wii,General
A Hat in Time,PC,Action
A Hat in Time,PC,Platformer
A Hat in Time,PC,3D
A Hat in Time,Xbox One,Action
A Hat in Time,Xbox One,Platformer
A Hat in Time,Xbox One,3D
A Hat in Time,PlayStation 4,Action
A Hat in Time,PlayStation 4,Platformer
A Hat in Time,PlayStation 4,3D
A Plague Tale: Innocence,PC,Action Adventure
A Plague Tale: Innocence,PC,General
A Plague Tale: Innocence,PlayStation 4,Action Adventure
A Plague Tale: Innocence,PlayStation 4,General
A Plague Tale: Innocence,Xbox One,Action Adventure
A Plague Tale: Innocence,Xbox One,General
A Rose in the Twilight,PlayStation Vita,Action
A Rose in the Twilight,PlayStation Vita,Platformer
A Rose in the Twilight,PlayStation Vita,2D
